index,domain,soundness,presentation,contribution,overall,confidence,type,reviewer
adaptive_memory_multimodal,multimodal,2,2.5,3,2,5,aug,Junior
multistage_fusion,multimodal,2,1,1,1,3,aug,Junior
probabilistic_multimodal_reasoning,multimodal,2.5,2,2,3,4,aug,Junior
self_supervised_multimodal,multimodal,2.5,2.5,2,4,5,aug,Junior
semantic_inconsistancy_resolution,multimodal,2.5,2,3,3,5,aug,Junior
temporal_multimodal,multimodal,2.5,2.5,2,4,2,aug,Junior
cross_modal_attention,multimodal,3,2.5,1,2,5,origin,Junior
dynamic_alignment,multimodal,3,2.5,1,2,5,origin,Junior
multi_modal_ensemble,multimodal,2,2.5,2,3,3,origin,Junior
adaptive_memory_multimodal,multimodal,2,3,3,7,4,aug,Junior
multistage_fusion,multimodal,2,3,1,3,2,aug,Junior
probabilistic_multimodal_reasoning,multimodal,3,3,2,6,3,aug,Junior
self_supervised_multimodal,multimodal,3,3,2,7,3,aug,Junior
semantic_inconsistancy_resolution,multimodal,3,3,3,7,3,aug,Junior
temporal_multimodal,multimodal,3,3,2,6,2,aug,Junior
cross_modal_attention,multimodal,3,2,1,4,3,origin,Junior
dynamic_alignment,multimodal,3,2,1,4,3,origin,Junior
multi_modal_ensemble,multimodal,2,3,2,5,4,origin,Junior
adaptive_memory_multimodal,multimodal,2,3,3,5,4,aug,Senior
multistage_fusion,multimodal,2,2,2,3,4,aug,Senior
probabilistic_multimodal_reasoning,multimodal,3,3,3,6,3,aug,Senior
self_supervised_multimodal,multimodal,3,3,2,5,4,aug,Senior
semantic_inconsistancy_resolution,multimodal,3,3,3,6,4,aug,Senior
temporal_multimodal,multimodal,2,3,3,5,4,aug,Senior
cross_modal_attention,multimodal,3,2,1,4,4,origin,Senior
dynamic_alignment,multimodal,3,2,1,4,4,origin,Senior
multi_modal_ensemble,multimodal,2,3,2,5,4,origin,Senior
adaptive_memory_multimodal,multimodal,2,3,3,7,4,aug,Senior
multistage_fusion,multimodal,2,2,1,5,3,aug,Senior
probabilistic_multimodal_reasoning,multimodal,3,2,2,6,3,aug,Senior
self_supervised_multimodal,multimodal,3,3,2,7,3,aug,Senior
semantic_inconsistancy_resolution,multimodal,3,3,3,8,3,aug,Senior
temporal_multimodal,multimodal,3,2,3,6,3,aug,Senior
cross_modal_attention,multimodal,3,3,3,7,2,origin,Senior
dynamic_alignment,multimodal,2,2,3,6,2,origin,Senior
multi_modal_ensemble,multimodal,3,3,3,7,3,origin,Senior
adaptive_reasoning_strategies,reasoning,2,3,4,5,4,aug,Senior
adaptive_reasoning,reasoning,1,2,3,4,3,aug,Senior
analogical_reasoning,reasoning,1,1,2,2,4,origin,Senior
collaborative_reasoning,reasoning,3,3,3,4,4,aug,Senior
recursive_reasoning_refinement,reasoning,3,3,3,5,4,aug,Senior
self_explaining_reasoning,reasoning,1,3,1,1,3,aug,Senior
dynamic_reasoning_paths,reasoning,4,2,4,6,4,aug,Senior
hierarchical_reasoning,reasoning,3,3,3,5,4,origin,Senior
syntax_semantic_alignment,reasoning,1,2,1,1,5,origin,Senior
uncertainty_aware_reasoning,reasoning,4,3,4,6,4,aug,Senior
adaptive_reasoning_strategies,reasoning,4,3,3,8,3,aug,Senior
adaptive_reasoning,reasoning,3,3,3,7,3,aug,Senior
analogical_reasoning,reasoning,3,4,3,8,3,origin,Senior
collaborative_reasoning,reasoning,3,4,3,8,3,aug,Senior
recursive_reasoning_refinement,reasoning,2,3,2,6,4,aug,Senior
self_explaining_reasoning,reasoning,4,3,3,8,4,aug,Senior
dynamic_reasoning_paths,reasoning,4,4,4,9,4,aug,Senior
hierarchical_reasoning,reasoning,3,3,4,8,3,origin,Senior
syntax_semantic_alignment,reasoning,3,3,3,7,3,origin,Senior
uncertainty_aware_reasoning,reasoning,4,4,4,9,3,aug,Senior
adaptive_reasoning_strategies,reasoning,3,2,2,5,4,aug,Junior
adaptive_reasoning,reasoning,2,2,2,4,4,aug,Junior
analogical_reasoning,reasoning,1,1,2,1,4,origin,Junior
collaborative_reasoning,reasoning,2,1,2,2,4,aug,Junior
recursive_reasoning_refinement,reasoning,3,2,2,5,4,aug,Junior
self_explaining_reasoning,reasoning,3,2,2,5,4,aug,Junior
dynamic_reasoning_paths,reasoning,2,2,3,5,4,aug,Junior
hierarchical_reasoning,reasoning,3,2,3,6,4,origin,Junior
syntax_semantic_alignment,reasoning,2,2,2,5,4,origin,Junior
uncertainty_aware_reasoning,reasoning,2,2,2,5,4,aug,Junior
adaptive_reasoning_strategies,reasoning,2,2,2,4,5,aug,Superior
adaptive_reasoning,reasoning,1,2,2,2,4,aug,Superior
analogical_reasoning,reasoning,1,1,2,1,5,origin,Superior
collaborative_reasoning,reasoning,2,2,2,4,4,aug,Superior
recursive_reasoning_refinement,reasoning,3,3,2,4,4,aug,Superior
self_explaining_reasoning,reasoning,1,3,1,1,5,aug,Superior
